team_names,img_refs
OpTicGaming,62058299eef09.png
TheGuard,61855ee4635e2.png
Cloud9,60cedb25c2016.png
XSET,5f9725636681d.png
Version1,6028427b5bbd6.png
Luminosity,5f36ec1f4ab21.png
Sentinels,60cedc3d59613.png
Knights,604022f368433.png
100Thieves,603c00d5c5a08.png
NRGEsports,5f7b9ff821d6d.png
EvilGeniuses,6011e22fc5be3.png
FaZeClan,61f6178e64260.png
G2Esports,5f3cbb213e5de.png
TeamLiquid,60cedbff184c0.png
FunPlusPhoenix,5feab33100c1d.png
Fnatic,60cedbc18c17e.png
GuildEsports,6279315a0b968.png
M3Champions,623a7205494a6.png
NatusVincere,60dc477d2d34f.png
BBLEsports,60df0bf7993ab.png
OGLDNUTD,627933e934a47.png
Acend,611a8c6dc5dac.png
BIG,5f1362059d3ce.png
SuperMassiveBlaze,61e371c4e86b9.png
LOUD,61c2286d2221b.png
NinjasInPyjamas,600f8bb766cb7.png
KeydStars,5f74a3536c9eb.png
FURIA,600e14f63980b.png
GamelandersBlue,61b993d51442e.png
TBKEsports,61d39894f3d3a.png
Liberty,60cecd6a853ad.png
INGAMINGEsports,61e3c143b140d.png
TeamVikings,609c8ce618abd.png
SharksEsports,60443f8490b7f.png
ZETADIVISION,60e712523df78.png
CrazyRaccoon,621b0bdf254dc.png
IGZIST,61b3107a6a139.png
FAVgaming,623be8f0125f2.png
NORTHEPTION,621b0cb313b7e.png
REJECT,60236bed79c86.png
CrestGaming,5ee896c6b8a7d.png
Reignite,61a25e347eaab.png
DRX,61e01b462a919.png
OnSla2ers,6213ba54f41dd.png
HolyMolly,6219ca8ab2703.png
DAMWONGaming,601b3c37a5221.png
MaruGaming,61ffa4ef984cf.png
WorldGameStar,601855fd9ecfd.png
TeamT5,6209267aea507.png
Desperado,6209262939441.png
KRÜEsports,609c5ef42f997.png
Leviatán,61b8888cc3860.png
EXolosLAZER,61b99c67aebb0.png
FUSION,61dd0fe98795a.png
PaperRex,5f60f06061ca7.png
XERXIAEsports,61e40deb3eb5d.png
BLEED,619253e875d82.png
BOOMEsports,62384d905b5bc.png
PersijaEsports,624570612c625.png
FULLSENSE,5fc4d9a75d08c.png
MadeinThailand,61e3b79b2cc50.png
SouthBuiltEsports,623bdce118146.png
CERBERUSEsports,6075d24931b2b.png
Bonkers,62515c2016c6c.png
ONICG,621b04181f4b1.png
VelocityGaming,619239ec98482.png
ActionPH,6229d6ad0d053.png
GriffinESports,622c9da8398a7.png
TeamBigBAAM,622c9ef0ac739.png
GlobalEsports,622c9d211932b.png
ORDER,61e67e92318c9.png
REIGN,6266439833bb3.png
Funcrew,5fba3c30b5887.png
Mindfreak,5f2e15bde14dd.png
HONEYBADGERS,627a19734a95b.png
MEOWMEOW,vlr.png
